Unnamed: 0,Registration_Number,Registration_Date,Registration_Year,State,RTO_Office,Vehicle_Category,Vehicle_Sub_Type,Manufacturer_Brand,Fuel_Type,Emission_Norm,Engine_CC,Seating_Capacity,Vehicle_Age_Years
0,REG100001,13-12-2019,2019,Madhya Pradesh,Bhopal (MP-04),2W,Scooter,Bajaj,Petrol,BS4,400,2,5
1,REG100002,14-01-2020,2020,Karnataka,Belgaum (KA-22),2W,Motorcycle,Honda,Petrol,BS6,400,2,4
2,REG100003,23-03-2023,2023,Karnataka,Delhi South (DL-09),2W,Scooter,Ola Electric,Petrol,BS6,0,2,1
3,REG100004,26-06-2021,2021,Karnataka,Kota (RJ-20),2W,Scooter,Honda,Petrol,BS6,0,2,3
4,REG100005,13-11-2022,2022,Karnataka,Ahmedabad (GJ-01),4W,Hatchback,Honda,Petrol,BS6,1598,6,2
5,REG100006,13-07-2024,2024,Karnataka,Thiruvananthapuram (KL-01),2W,Motorcycle,Royal Enfield,Petrol,BS6,160,2,0
6,REG100007,28-11-2021,2021,Karnataka,Durgapur (WB-40),2W,Scooter,Bajaj,CNG,BS6,110,2,3
7,REG100008,19-12-2021,2021,Karnataka,Ludhiana (PB-10),4W,Sedan,Tata Motors,Diesel,BS6,0,6,3
8,REG100009,18-05-2023,2023,Karnataka,Gwalior (MP-07),LCV,Mini Truck,Mahindra,Diesel,BS6,2523,9,1
9,REG100010,13-03-2022,2022,Karnataka,Amritsar (PB-02),2W,Scooter,Suzuki,EV,BS6,0,2,2
10,REG100011,18-09-2021,2021,Karnataka,Kollam (KL-02),4W,MUV,Skoda,Diesel,BS6,2179,5,3
11,REG100012,02-11-2019,2019,Karnataka,Mumbai Central (MH-01),2W,Motorcycle,Suzuki,EV,BS4,0,2,5
12,REG100013,16-05-2024,2024,Karnataka,Nizamabad (TS-05),OTH,Tractor,Mahindra,Diesel,BS6,5660,1,0
13,REG100014,24-02-2023,2023,Karnataka,Rajkot (GJ-03),2W,Motorcycle,Royal Enfield,EV,BS6,0,2,1
14,REG100015,28-09-2020,2020,Karnataka,Ujjain (MP-13),4W,Sedan,Toyota,Hybrid,BS4,800,7,4
15,REG100016,10-02-2018,2018,Karnataka,Kolkata (WB-01),2W,Scooter,Royal Enfield,Petrol,BS4,110,2,6
16,REG100017,26-03-2022,2022,Karnataka,Thrissur (KL-08),4W,Sedan,Tata Motors,EV,BS6,0,8,2
17,REG100018,10-07-2024,2024,Karnataka,Delhi South (DL-09),4W,Sedan,Kia,Diesel,BS6,2179,8,0
18,REG100019,23-04-2022,2022,Karnataka,Mysore (KA-09),2W,Scooter,Hero,EV,BS6,0,2,2
19,REG100020,09-12-2022,2022,Karnataka,Bangalore Central (KA-01),2W,Motorcycle,Yamaha,Petrol,BS6,350,2,2
20,REG100021,27-07-2020,2020,Karnataka,Delhi South (DL-09),2W,Moped,Ola Electric,EV,BS6,0,2,4
21,REG100022,28-01-2022,2022,Karnataka,Bangalore Central (KA-01),4W,SUV,Honda,Diesel,BS6,1000,5,2
22,REG100023,12-03-2020,2020,Karnataka,Agra (UP-80),4W,Hatchback,Mahindra,Petrol,BS6,1968,6,4
23,REG100024,04-10-2019,2019,Karnataka,Rajkot (GJ-03),2W,Motorcycle,KTM,EV,BS4,0,2,5
24,REG100025,25-03-2024,2024,Karnataka,Mysore (KA-09),2W,Scooter,KTM,Petrol,BS6,250,2,0
25,REG100026,12-10-2023,2023,Karnataka,Nashik (MH-15),2W,Scooter,Royal Enfield,Petrol,BS6,350,2,1
26,REG100027,10-06-2022,2022,Karnataka,Coimbatore (TN-37),2W,Motorcycle,Ola Electric,CNG,BS6,0,2,2
27,REG100028,05-04-2024,2024,Karnataka,Aurangabad (MH-20),3W,Tempo,Piaggio,CNG,BS6,200,7,0
28,REG100029,11-02-2022,2022,Karnataka,Mysore (KA-09),2W,Moped,Bajaj,EV,BS6,0,2,2
29,REG100030,03-05-2023,2023,Karnataka,Ujjain (MP-13),4W,SUV,Kia,Petrol,BS6,1498,8,1
30,REG100031,21-02-2023,2023,Karnataka,Madurai (TN-58),3W,Auto Rickshaw,Bajaj,Diesel,BS6,200,7,1
31,REG100032,13-08-2021,2021,Karnataka,Delhi South (DL-09),2W,Scooter,Honda,Petrol,BS6,400,2,3
32,REG100033,09-03-2024,2024,Karnataka,Kozhikode (KL-11),4W,Hatchback,Renault,Petrol,BS6,1498,5,0
33,REG100034,18-12-2023,2023,Karnataka,Belgaum (KA-22),2W,Scooter,Ola Electric,Petrol,BS6,0,2,1
34,REG100035,23-01-2022,2022,Karnataka,Karimnagar (TS-01),2W,Motorcycle,Honda,EV,BS6,0,2,2
35,REG100036,07-08-2022,2022,Karnataka,Jodhpur (RJ-19),4W,SUV,Tata Motors,Hybrid,BS6,0,5,2
36,REG100037,10-10-2023,2023,Karnataka,Bangalore Central (KA-01),HCV,Bus,Eicher,Diesel,BS6,4998,45,1
37,REG100038,22-02-2023,2023,Karnataka,Chennai Central (TN-01),2W,Motorcycle,Yamaha,Petrol,BS6,200,2,1
38,REG100039,30-07-2024,2024,Karnataka,Karimnagar (TS-01),OTH,Road Roller,TAFE,Diesel,BS6,3760,2,0
39,REG100040,25-02-2020,2020,Karnataka,Kozhikode (KL-11),4W,MUV,Mahindra,Petrol,BS4,1968,5,4
40,REG100041,25-04-2023,2023,Karnataka,Howrah (WB-13),2W,Scooter,Yamaha,Petrol,BS6,100,2,1
41,REG100042,18-09-2021,2021,Karnataka,Indore (MP-09),2W,Scooter,Honda,Hybrid,BS6,250,2,3
42,REG100043,20-01-2020,2020,Karnataka,Ujjain (MP-13),2W,Motorcycle,Honda,Petrol,BS6,110,2,4
43,REG100044,16-07-2024,2024,Karnataka,Jalandhar (PB-08),2W,Scooter,Suzuki,EV,BS6,0,2,0
44,REG100045,17-12-2024,2024,Karnataka,Delhi West (DL-08),2W,Scooter,Hero,EV,BS6,0,2,0
